Date,Project ID,Name,Points,Historical Download,Daily Download,Daily Unique Download,Daily Twitch App Download,Daily Curse Forge Download
2020-05-11,382206,Horse Item Recipes,0,6,6,6,1,5
2020-05-12,382206,Horse Item Recipes,0,21,15,13,3,12
2020-05-13,382206,Horse Item Recipes,0,33,12,12,3,9
2020-05-14,382206,Horse Item Recipes,0,40,7,6,1,6
2020-05-15,382206,Horse Item Recipes,0,45,5,5,0,5
2020-05-16,382206,Horse Item Recipes,0,47,2,2,0,2
2020-05-17,382206,Horse Item Recipes,0,58,11,8,6,5
2020-05-18,382206,Horse Item Recipes,0,61,3,3,1,2
2020-05-19,382206,Horse Item Recipes,0,62,1,1,1,0
2020-05-20,382206,Horse Item Recipes,0,68,6,5,1,5
2020-05-21,382206,Horse Item Recipes,0,71,3,2,3,0
2020-05-22,382206,Horse Item Recipes,0,73,2,2,1,1
2020-05-23,382206,Horse Item Recipes,0,76,3,3,2,1
2020-05-24,382206,Horse Item Recipes,0,77,1,1,0,1
2020-05-25,382206,Horse Item Recipes,0,79,2,2,1,1
2020-05-26,382206,Horse Item Recipes,0,81,2,2,1,1
2020-05-27,382206,Horse Item Recipes,0,85,4,2,1,3
2020-05-28,382206,Horse Item Recipes,0,85,0,0,0,0
2020-05-29,382206,Horse Item Recipes,0,86,1,1,1,0
2020-05-30,382206,Horse Item Recipes,0,90,4,4,2,2
2020-05-31,382206,Horse Item Recipes,0,92,2,2,2,0
2020-06-01,382206,Horse Item Recipes,0,92,0,0,0,0
2020-06-02,382206,Horse Item Recipes,0.08,95,3,3,3,0
2020-06-03,382206,Horse Item Recipes,0.09,100,5,4,3,2
2020-06-04,382206,Horse Item Recipes,0.09,103,3,3,3,0
2020-06-05,382206,Horse Item Recipes,0.09,104,1,1,1,0
2020-06-06,382206,Horse Item Recipes,0.09,107,3,3,2,1
2020-06-07,382206,Horse Item Recipes,0.1,108,1,1,0,1
2020-06-08,382206,Horse Item Recipes,0,108,0,0,0,0
2020-06-09,382206,Horse Item Recipes,0.1,109,1,1,0,1
2020-06-10,382206,Horse Item Recipes,0.1,110,1,1,1,0
2020-06-11,382206,Horse Item Recipes,0.1,111,1,1,1,0
2020-06-12,382206,Horse Item Recipes,0.1,114,3,3,1,2
2020-06-13,382206,Horse Item Recipes,0.09,116,2,2,1,1
2020-06-14,382206,Horse Item Recipes,0.09,117,1,1,1,0
2020-06-15,382206,Horse Item Recipes,0.08,122,5,4,3,2
2020-06-16,382206,Horse Item Recipes,0.08,123,1,1,1,0
2020-06-17,382206,Horse Item Recipes,0.08,124,1,1,0,1
2020-06-18,382206,Horse Item Recipes,0.08,126,2,2,0,2
2020-06-19,382206,Horse Item Recipes,0.08,127,1,1,0,1
2020-06-20,382206,Horse Item Recipes,0,130,3,3,1,2
2020-06-21,382206,Horse Item Recipes,0.09,131,1,1,1,0
2020-06-22,382206,Horse Item Recipes,0.09,134,3,3,1,2
2020-06-23,382206,Horse Item Recipes,0.09,137,3,3,3,0
2020-06-24,382206,Horse Item Recipes,0.09,138,1,1,1,0
2020-06-25,382206,Horse Item Recipes,0.09,142,4,4,1,3
2020-06-26,382206,Horse Item Recipes,0,144,2,2,1,1
2020-06-27,382206,Horse Item Recipes,0.11,146,2,2,2,0
2020-06-28,382206,Horse Item Recipes,0.11,148,2,2,2,0
2020-06-29,382206,Horse Item Recipes,0.11,150,2,2,1,1
